Date,Gold Price,GPRD,GPRD_MA7,GPRD_MA30,USDIDR,GoldReturn,USDReturn,GoldMA14,PriceMA14Ratio,RSI14,Vol30,GPRNorm,MonthSin,MonthCos
2021-06-18,920000.0,84.5,82.27,89.87,14554.7001953125,-0.008658062743114541,0.006078347296093368,948500.0,0.9699525566684238,23.946479193732003,0.0056333098441818585,0.9836008325511424,1.2246467991473532e-16,-1.0
2021-06-19,920000.0,42.24,81.57,87.08,14492.466796875,0.0,-0.0042849957572435714,945642.8571428572,0.9728831482740388,23.94647919373199,0.005636242529790505,0.4997338065069821,1.2246467991473532e-16,-1.0
2021-06-20,920000.0,94.64,86.72,84.71,14430.2333984375,0.0,-0.004303435990541383,942785.7142857143,0.9758315023865444,23.94647919373199,0.005209326151039368,1.1357163427866832,1.2246467991473532e-16,-1.0
2021-06-21,923000.0,94.5,96.03,85.59,14368.0,0.0032555644597662002,-0.0043220356230227585,940214.2857142857,0.9816911038517055,28.637453357047875,0.005259253513290662,1.1384239151978481,1.2246467991473532e-16,-1.0
2021-06-22,932000.0,170.6,109.9,89.07,14388.7998046875,0.00970358018273898,0.0014466010443445526,938214.2857142857,0.993376475066616,40.49518834560548,0.005623933989820627,2.0453836990298155,1.2246467991473532e-16,-1.0
2021-06-23,930000.0,41.51,95.15,85.85,14495.0,-0.0021482285382896063,0.0073536497694305526,936285.7142857143,0.9932865425694232,38.94647264996391,0.005615750473409695,0.5047698377823726,1.2246467991473532e-16,-1.0
2021-06-24,932000.0,76.66,86.38,82.7,14413.2998046875,0.002148228538289605,-0.00565238449769818,934714.2857142857,0.9970961332721994,41.36157348447397,0.005611954149385199,0.9209901904908315,1.2246467991473532e-16,-1.0
2021-06-25,932000.0,54.79,82.14,78.64,14511.2001953125,0.0,0.0067694006451331406,932928.5714285715,0.9990046703927723,41.36157348447397,0.005550870409295126,0.6582027064927447,1.2246467991473532e-16,-1.0
2021-06-26,934000.0,25.45,79.74,75.05,14480.133463541666,0.002143623543251369,-0.0021431745105418318,931928.5714285715,1.0022227331953706,43.93371950558535,0.005514812197767887,0.3123778974354272,1.2246467991473532e-16,-1.0
2021-06-27,934000.0,8.47,67.43,70.66,14449.066731770834,0.0,-0.0021477775744592267,930928.5714285715,1.0032993171180848,43.93371950558535,0.005514812197767887,0.10485441699481039,1.2246467991473532e-16,-1.0
2021-06-28,933000.0,97.29,67.83,71.94,14418.0,-0.0010712373814988035,-0.0021524004536659144,930071.4285714285,1.003148759695876,42.8439315598756,0.00546023089520688,1.1921260130507563,1.2246467991473532e-16,-1.0
2021-06-29,932000.0,95.69,57.12,74.09,14525.0,-0.0010723861617525938,0.0073938767555880944,929285.7142857143,1.0029208301306687,41.729203819547834,0.005456126794491079,1.158493276587375,1.2246467991473532e-16,-1.0
